7,12,14,(((3849.78, 13586.6), (3869.78, 13586.6), (3869.78, 13566.6), (3849.78, 13566.6), (3849.78, 13586.6)))
7,13,27,(((3161.72, 14488.6), (3181.72, 14488.6), (3181.72, 14468.6), (3161.72, 14468.6), (3161.72, 14488.6)))
7,14,14,(((3849.78, 13586.6), (3869.78, 13586.6), (3869.78, 13566.6), (3849.78, 13566.6), (3849.78, 13586.6)))
7,32,17,(((1004.01, 9677.98), (1024.01, 9677.98), (1024.01, 9657.98), (1004.01, 9657.98), (1004.01, 9677.98)))
7,40,35,(((7412.88, 6890.36), (7432.88, 6890.36), (7432.88, 6870.36), (7412.88, 6870.36), (7412.88, 6890.36)))
7,41,35,(((7412.88, 6890.36), (7432.88, 6890.36), (7432.88, 6870.36), (7412.88, 6870.36), (7412.88, 6890.36)))
7,14,37,(((799.716, 8873.09), (819.716, 8873.09), (819.716, 8853.09), (799.716, 8853.09), (799.716, 8873.09)))
7,17,37,(((799.716, 8873.09), (819.716, 8873.09), (819.716, 8853.09), (799.716, 8853.09), (799.716, 8873.09)))
7,40,40,(((3594.99, 12824.1), (3614.99, 12824.1), (3614.99, 12804.1), (3594.99, 12804.1), (3594.99, 12824.1)))
7,1,34,(((3780.34, 8577.78), (3800.34, 8577.78), (3800.34, 8557.78), (3780.34, 8557.78), (3780.34, 8577.78)))
7,14,4,(((3231.73, 15186.2), (3251.73, 15186.2), (3251.73, 15166.2), (3231.73, 15166.2), (3231.73, 15186.2)))
7,17,6,(((3794.69, 10855), (3814.69, 10855), (3814.69, 10835), (3794.69, 10835), (3794.69, 10855)))
7,45,15,(((3231.16, 14067.3), (3251.16, 14067.3), (3251.16, 14047.3), (3231.16, 14047.3), (3231.16, 14067.3)))
7,12,11,(((3231.16, 14253.1), (3251.16, 14253.1), (3251.16, 14233.1), (3231.16, 14233.1), (3231.16, 14253.1)))
7,36,21,(((3578.34, 10921.2), (3598.34, 10921.2), (3598.34, 10901.2), (3578.34, 10901.2), (3578.34, 10921.2)))
7,40,26,(((6561.84, 13388.9), (6581.84, 13388.9), (6581.84, 13368.9), (6561.84, 13368.9), (6561.84, 13388.9)))
7,47,15,(((3231.16, 14067.3), (3251.16, 14067.3), (3251.16, 14047.3), (3231.16, 14047.3), (3231.16, 14067.3)))
8,2,2,(((6251.96, 9880.79), (6271.96, 9880.79), (6271.96, 9860.79), (6251.96, 9860.79), (6251.96, 9880.79)))
8,2,48,(((6251.96, 9880.79), (6271.96, 9880.79), (6271.96, 9860.79), (6251.96, 9860.79), (6251.96, 9880.79)))
8,6,10,(((587.962, 8067.36), (607.962, 8067.36), (607.962, 8047.36), (587.962, 8047.36), (587.962, 8067.36)))
8,6,11,(((587.962, 8067.36), (607.962, 8067.36), (607.962, 8047.36), (587.962, 8047.36), (587.962, 8067.36)))
8,11,39,(((1004.01, 9677.98), (1024.01, 9677.98), (1024.01, 9657.98), (1004.01, 9657.98), (1004.01, 9677.98)))
8,16,0,(((5867.47, 14589.2), (5887.47, 14589.2), (5887.47, 14569.2), (5867.47, 14569.2), (5867.47, 14589.2)))
8,16,29,(((5867.47, 14589.2), (5887.47, 14589.2), (5887.47, 14569.2), (5867.47, 14569.2), (5867.47, 14589.2)))
8,16,36,(((5867.47, 14589.2), (5887.47, 14589.2), (5887.47, 14569.2), (5867.47, 14569.2), (5867.47, 14589.2)))
8,16,42,(((5867.47, 14589.2), (5887.47, 14589.2), (5887.47, 14569.2), (5867.47, 14569.2), (5867.47, 14589.2)))
8,31,2,(((6251.96, 9880.79), (6271.96, 9880.79), (6271.96, 9860.79), (6251.96, 9860.79), (6251.96, 9880.79)))
8,31,48,(((6251.96, 9880.79), (6271.96, 9880.79), (6271.96, 9860.79), (6251.96, 9860.79), (6251.96, 9880.79)))
8,1,26,(((7131.68, 9847.7), (7151.68, 9847.7), (7151.68, 9827.7), (7131.68, 9827.7), (7131.68, 9847.7)))
8,5,39,(((1004.01, 9677.98), (1024.01, 9677.98), (1024.01, 9657.98), (1004.01, 9657.98), (1004.01, 9677.98)))
8,13,24,(((3161.72, 14488.6), (3181.72, 14488.6), (3181.72, 14468.6), (3161.72, 14468.6), (3161.72, 14488.6)))
8,13,35,(((3161.72, 14488.6), (3181.72, 14488.6), (3181.72, 14468.6), (3161.72, 14468.6), (3161.72, 14488.6)))
8,32,39,(((1004.01, 9677.98), (1024.01, 9677.98), (1024.01, 9657.98), (1004.01, 9657.98), (1004.01, 9677.98)))
8,28,38,(((11823, 5418.06), (11843, 5418.06), (11843, 5398.06), (11823, 5398.06), (11823, 5418.06)))
8,28,40,(((11823, 5418.06), (11843, 5418.06), (11843, 5398.06), (11823, 5398.06), (11823, 5418.06)))
8,4,30,(((898.42, 8065.66), (918.42, 8065.66), (918.42, 8045.66), (898.42, 8045.66), (898.42, 8065.66)))
