Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      1.73     0.00      120     0.00     0.00  std::vector<int, std::allocator<int> >* std::__copy_move<false, false, std::random_access_iterator_tag>::__copy_m<std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*>(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*)
  0.00      1.73     0.00      120     0.00     0.00  std::vector<int, std::allocator<int> >* std::__uninitialized_copy<false>::__uninit_copy<std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*>(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*)
  0.00      1.73     0.00      120     0.00     0.00  std::vector<int, std::allocator<int> >* std::__copy_move_a<false, std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*>(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*)
  0.00      1.73     0.00      120     0.00     0.00  std::vector<int, std::allocator<int> >* std::__copy_move_a2<false, std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*>(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*)
  0.00      1.73     0.00      120     0.00     0.00  std::vector<int, std::allocator<int> >* std::uninitialized_copy<std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*>(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*)
  0.00      1.73     0.00      120     0.00     0.00  std::vector<int, std::allocator<int> >* std::__uninitialized_copy_a<std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*, std::allocator<std::vector<int, std::allocator<int> > >&)
  0.00      1.73     0.00      120     0.00     0.00  std::vector<int, std::allocator<int> >* std::copy<std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*>(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*)
  0.00      1.73     0.00      118     0.00     0.00  __gnu_cxx::__normal_iterator<cmbr*, std::vector<cmbr, std::allocator<cmbr> > >::__normal_iterator(cmbr* const&)
  0.00      1.73     0.00      118     0.00     0.00  __gnu_cxx::__normal_iterator<cmbr_comb*, std::vector<cmbr_comb, std::allocator<cmbr_comb> > >::__normal_iterator(cmbr_comb* const&)
  0.00      1.73     0.00      118     0.00     0.00  std::_Vector_base<cmbr, std::allocator<cmbr> >::_M_get_Tp_allocator() const
  0.00      1.73     0.00      118     0.00     0.00  std::_Vector_base<cmbr_comb, std::allocator<cmbr_comb> >::_M_get_Tp_allocator() const
  0.00      1.73     0.00      118     0.00     0.00  std::vector<cmbr, std::allocator<cmbr> >::max_size() const
  0.00      1.73     0.00      118     0.00     0.00  std::vector<cmbr_comb, std::allocator<cmbr_comb> >::max_size() const
  0.00      1.73     0.00      118     0.00     0.00  std::allocator_traits<std::allocator<cmbr> >::max_size(std::allocator<cmbr> const&)
  0.00      1.73     0.00      118     0.00     0.00  std::allocator_traits<std::allocator<cmbr_comb> >::max_size(std::allocator<cmbr_comb> const&)
  0.00      1.73     0.00      118     0.00     0.00  cmbr* std::__uninitialized_copy<false>::__uninit_copy<std::move_iterator<cmbr*>, cmbr*>(std::move_iterator<cmbr*>, std::move_iterator<cmbr*>, cmbr*)
  0.00      1.73     0.00      118     0.00     0.00  cmbr_comb* std::__uninitialized_copy<false>::__uninit_copy<std::move_iterator<cmbr_comb*>, cmbr_comb*>(std::move_iterator<cmbr_comb*>, std::move_iterator<cmbr_comb*>, cmbr_comb*)
  0.00      1.73     0.00      118     0.00     0.00  cmbr* std::uninitialized_copy<std::move_iterator<cmbr*>, cmbr*>(std::move_iterator<cmbr*>, std::move_iterator<cmbr*>, cmbr*)
  0.00      1.73     0.00      118     0.00     0.00  cmbr_comb* std::uninitialized_copy<std::move_iterator<cmbr_comb*>, cmbr_comb*>(std::move_iterator<cmbr_comb*>, std::move_iterator<cmbr_comb*>, cmbr_comb*)
  0.00      1.73     0.00      118     0.00     0.00  cmbr* std::__uninitialized_copy_a<std::move_iterator<cmbr*>, cmbr*, cmbr>(std::move_iterator<cmbr*>, std::move_iterator<cmbr*>, cmbr*, std::allocator<cmbr>&)
  0.00      1.73     0.00      118     0.00     0.00  cmbr_comb* std::__uninitialized_copy_a<std::move_iterator<cmbr_comb*>, cmbr_comb*, cmbr_comb>(std::move_iterator<cmbr_comb*>, std::move_iterator<cmbr_comb*>, cmbr_comb*, std::allocator<cmbr_comb>&)
  0.00      1.73     0.00      118     0.00     0.00  cmbr* std::__uninitialized_move_if_noexcept_a<cmbr*, cmbr*, std::allocator<cmbr> >(cmbr*, cmbr*, cmbr*, std::allocator<cmbr>&)
  0.00      1.73     0.00      118     0.00     0.00  cmbr_comb* std::__uninitialized_move_if_noexcept_a<cmbr_comb*, cmbr_comb*, std::allocator<cmbr_comb> >(cmbr_comb*, cmbr_comb*, cmbr_comb*, std::allocator<cmbr_comb>&)
  0.00      1.73     0.00      101     0.00     0.00  void std::vector<mbr, std::allocator<mbr> >::_M_realloc_insert<mbr>(__gnu_cxx::__normal_iterator<mbr*, std::vector<mbr, std::allocator<mbr> > >, mbr&&)
  0.00      1.73     0.00       59     0.00     0.00  __gnu_cxx::new_allocator<cmbr>::allocate(unsigned int, void const*)
  0.00      1.73     0.00       59     0.00     0.00  __gnu_cxx::new_allocator<cmbr_comb>::allocate(unsigned int, void const*)
  0.00      1.73     0.00       59     0.00     0.00  __gnu_cxx::__normal_iterator<cmbr*, std::vector<cmbr, std::allocator<cmbr> > >::difference_type __gnu_cxx::operator-<cmbr*, std::vector<cmbr, std::allocator<cmbr> > >(__gnu_cxx::__normal_iterator<cmbr*, std::vector<cmbr, std::allocator<cmbr> > > const&, __gnu_cxx::__normal_iterator<cmbr*, std::vector<cmbr, std::allocator<cmbr> > > const&)
  0.00      1.73     0.00       59     0.00     0.00  __gnu_cxx::__normal_iterator<cmbr_comb*, std::vector<cmbr_comb, std::allocator<cmbr_comb> > >::difference_type __gnu_cxx::operator-<cmbr_comb*, std::vector<cmbr_comb, std::allocator<cmbr_comb> > >(__gnu_cxx::__normal_iterator<cmbr_comb*, std::vector<cmbr_comb, std::allocator<cmbr_comb> > > const&, __gnu_cxx::__normal_iterator<cmbr_comb*, std::vector<cmbr_comb, std::allocator<cmbr_comb> > > const&)
  0.00      1.73     0.00       59     0.00     0.00  std::vector<cmbr, std::allocator<cmbr> >::_M_check_len(unsigned int, char const*) const
  0.00      1.73     0.00       59     0.00     0.00  std::vector<cmbr_comb, std::allocator<cmbr_comb> >::_M_check_len(unsigned int, char const*) const
  0.00      1.73     0.00       59     0.00     0.00  void std::_Destroy_aux<false>::__destroy<cmbr*>(cmbr*, cmbr*)
  0.00      1.73     0.00       59     0.00     0.00  void std::_Destroy_aux<false>::__destroy<cmbr_comb*>(cmbr_comb*, cmbr_comb*)
  0.00      1.73     0.00       59     0.00     0.00  std::_Vector_base<cmbr, std::allocator<cmbr> >::_M_allocate(unsigned int)
  0.00      1.73     0.00       59     0.00     0.00  std::_Vector_base<cmbr, std::allocator<cmbr> >::_M_deallocate(cmbr*, unsigned int)
  0.00      1.73     0.00       59     0.00     0.00  std::_Vector_base<cmbr_comb, std::allocator<cmbr_comb> >::_M_allocate(unsigned int)
  0.00      1.73     0.00       59     0.00     0.00  std::_Vector_base<cmbr_comb, std::allocator<cmbr_comb> >::_M_deallocate(cmbr_comb*, unsigned int)
  0.00      1.73     0.00       59     0.00     0.00  std::allocator_traits<std::allocator<cmbr> >::allocate(std::allocator<cmbr>&, unsigned int)
  0.00      1.73     0.00       59     0.00     0.00  std::allocator_traits<std::allocator<cmbr_comb> >::allocate(std::allocator<cmbr_comb>&, unsigned int)
  0.00      1.73     0.00       59     0.00     0.00  void std::vector<cmbr, std::allocator<cmbr> >::_M_realloc_insert<cmbr const&>(__gnu_cxx::__normal_iterator<cmbr*, std::vector<cmbr, std::allocator<cmbr> > >, cmbr const&)
  0.00      1.73     0.00       59     0.00     0.00  std::vector<cmbr, std::allocator<cmbr> >::end()
  0.00      1.73     0.00       59     0.00     0.00  std::vector<cmbr, std::allocator<cmbr> >::begin()
  0.00      1.73     0.00       59     0.00     0.00  void std::vector<cmbr_comb, std::allocator<cmbr_comb> >::_M_realloc_insert<cmbr_comb const&>(__gnu_cxx::__normal_iterator<cmbr_comb*, std::vector<cmbr_comb, std::allocator<cmbr_comb> > >, cmbr_comb const&)
  0.00      1.73     0.00       59     0.00     0.00  std::vector<cmbr_comb, std::allocator<cmbr_comb> >::end()
  0.00      1.73     0.00       59     0.00     0.00  std::vector<cmbr_comb, std::allocator<cmbr_comb> >::begin()
  0.00      1.73     0.00       59     0.00     0.00  void std::_Destroy<cmbr*>(cmbr*, cmbr*)
  0.00      1.73     0.00       59     0.00     0.00  void std::_Destroy<cmbr*, cmbr>(cmbr*, cmbr*, std::allocator<cmbr>&)
  0.00      1.73     0.00       59     0.00     0.00  void std::_Destroy<cmbr_comb*>(cmbr_comb*, cmbr_comb*)
  0.00      1.73     0.00       59     0.00     0.00  void std::_Destroy<cmbr_comb*, cmbr_comb>(cmbr_comb*, cmbr_comb*, std::allocator<cmbr_comb>&)
  0.00      1.73     0.00       52     0.00     0.00  std::vector<mbr, std::allocator<mbr> >* std::__addressof<std::vector<mbr, std::allocator<mbr> > >(std::vector<mbr, std::allocator<mbr> >&)
  0.00      1.73     0.00       47     0.00     0.00  __gnu_cxx::new_allocator<cmbr>::deallocate(cmbr*, unsigned int)
  0.00      1.73     0.00       47     0.00     0.00  __gnu_cxx::new_allocator<cmbr_comb>::deallocate(cmbr_comb*, unsigned int)
  0.00      1.73     0.00       47     0.00     0.00  std::allocator_traits<std::allocator<cmbr> >::deallocate(std::allocator<cmbr>&, cmbr*, unsigned int)
  0.00      1.73     0.00       47     0.00     0.00  std::allocator_traits<std::allocator<cmbr_comb> >::deallocate(std::allocator<cmbr_comb>&, cmbr_comb*, unsigned int)
  0.00      1.73     0.00       28     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<mbr, std::allocator<mbr> > const*, std::vector<std::vector<mbr, std::allocator<mbr> >, std::allocator<std::vector<mbr, std::allocator<mbr> > > > >::base() const
  0.00      1.73     0.00       26     0.00     0.00  void std::_Destroy<std::vector<mbr, std::allocator<mbr> > >(std::vector<mbr, std::allocator<mbr> >*)
  0.00      1.73     0.00       14     0.00     0.00  bool __gnu_cxx::operator!=<std::vector<mbr, std::allocator<mbr> > const*, std::vector<std::vector<mbr, std::allocator<mbr> >, std::allocator<std::vector<mbr, std::allocator<mbr> > > > >(__gnu_cxx::__normal_iterator<std::vector<mbr, std::allocator<mbr> > const*, std::vector<std::vector<mbr, std::allocator<mbr> >, std::allocator<std::vector<mbr, std::allocator<mbr> > > > > const&, __gnu_cxx::__normal_iterator<std::vector<mbr, std::allocator<mbr> > const*, std::vector<std::vector<mbr, std::allocator<mbr> >, std::allocator<std::vector<mbr, std::allocator<mbr> > > > > const&)
  0.00      1.73     0.00       13     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<mbr, std::allocator<mbr> > const*, std::vector<std::vector<mbr, std::allocator<mbr> >, std::allocator<std::vector<mbr, std::allocator<mbr> > > > >::operator++()
  0.00      1.73     0.00       13     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<mbr, std::allocator<mbr> > const*, std::vector<std::vector<mbr, std::allocator<mbr> >, std::allocator<std::vector<mbr, std::allocator<mbr> > > > >::operator*() const
  0.00      1.73     0.00       13     0.00     0.00  std::vector<std::vector<cmbr_comb, std::allocator<cmbr_comb> >, std::allocator<std::vector<cmbr_comb, std::allocator<cmbr_comb> > > >::size() const
  0.00      1.73     0.00       13     0.00     0.00  void std::_Construct<std::vector<mbr, std::allocator<mbr> >>(std::vector<mbr, std::allocator<mbr> >*)
  0.00      1.73     0.00       13     0.00     0.00  void std::_Construct<std::vector<mbr, std::allocator<mbr> >, std::vector<mbr, std::allocator<mbr> > const&>(std::vector<mbr, std::allocator<mbr> >*, std::vector<mbr, std::allocator<mbr> > const&)
  0.00      1.73     0.00       13     0.00     0.00  std::vector<mbr, std::allocator<mbr> > const& std::forward<std::vector<mbr, std::allocator<mbr> > const&>(std::remove_reference<std::vector<mbr, std::allocator<mbr> > const&>::type&)
  0.00      1.73     0.00       12     0.00     0.00  erase_cmbr_map(int, std::vector<int, std::allocator<int> >)
  0.00      1.73     0.00       12     0.00     0.00  cmbr_filter_layerwise(int)
  0.00      1.73     0.00        4     0.00     0.00  __gnu_cxx::new_allocator<std::vector<mbr, std::allocator<mbr> > >::~new_allocator()
  0.00      1.73     0.00        4     0.00     0.00  std::_Vector_base<std::vector<mbr, std::allocator<mbr> >, std::allocator<std::vector<mbr, std::allocator<mbr> > > >::_M_get_Tp_allocator()
  0.00      1.73     0.00        3     0.00     0.00  __gnu_cxx::new_allocator<std::vector<mbr, std::allocator<mbr> > >::new_allocator(__gnu_cxx::new_allocator<std::vector<mbr, std::allocator<mbr> > > const&)
  0.00      1.73     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<std::vector<mbr, std::allocator<mbr> > >::deallocate(std::vector<mbr, std::allocator<mbr> >*, unsigned int)
  0.00      1.73     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<std::vector<mbr, std::allocator<mbr> > >::allocate(unsigned int, void const*)
  0.00      1.73     0.00        2     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<mbr, std::allocator<mbr> > const*, std::vector<std::vector<mbr, std::allocator<mbr> >, std::allocator<std::vector<mbr, std::allocator<mbr> > > > >::__normal_iterator(std::vector<mbr, std::allocator<mbr> > const* const&)
  0.00      1.73     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<std::vector<mbr, std::allocator<mbr> > >::max_size() const
  0.00      1.73     0.00        2     0.00     0.00  std::allocator<std::vector<mbr, std::allocator<mbr> > >::allocator(std::allocator<std::vector<mbr, std::allocator<mbr> > > const&)
  0.00      1.73     0.00        2     0.00     0.00  std::allocator<std::vector<mbr, std::allocator<mbr> > >::~allocator()
  0.00      1.73     0.00        2     0.00     0.00  std::allocator<std::vector<mbr, std::allocator<mbr> > >::~allocator()
  0.00      1.73     0.00        2     0.00     0.00  void std::_Destroy_aux<false>::__destroy<std::vector<mbr, std::allocator<mbr> >*>(std::vector<mbr, std::allocator<mbr> >*, std::vector<mbr, std::allocator<mbr> >*)
  0.00      1.73     0.00        2     0.00     0.00  std::_Vector_base<std::vector<mbr, std::allocator<mbr> >, std::allocator<std::vector<mbr, std::allocator<mbr> > > >::_M_allocate(unsigned int)
  0.00      1.73     0.00        2     0.00     0.00  std::_Vector_base<std::vector<mbr, std::allocator<mbr> >, std::allocator<std::vector<mbr, std::allocator<mbr> > > >::_Vector_impl::_Vector_impl(std::allocator<std::vector<mbr, std::allocator<mbr> > > const&)
  0.00      1.73     0.00        2     0.00     0.00  std::_Vector_base<std::vector<mbr, std::allocator<mbr> >, std::allocator<std::vector<mbr, std::allocator<mbr> > > >::_Vector_impl::~_Vector_impl()
  0.00      1.73     0.00        2     0.00     0.00  std::_Vector_base<std::vector<mbr, std::allocator<mbr> >, std::allocator<std::vector<mbr, std::allocator<mbr> > > >::_M_deallocate(std::vector<mbr, std::allocator<mbr> >*, unsigned int)
  0.00      1.73     0.00        2     0.00     0.00  std::_Vector_base<std::vector<mbr, std::allocator<mbr> >, std::allocator<std::vector<mbr, std::allocator<mbr> > > >::_M_create_storage(unsigned int)
  0.00      1.73     0.00        2     0.00     0.00  std::_Vector_base<std::vector<mbr, std::allocator<mbr> >, std::allocator<std::vector<mbr, std::allocator<mbr> > > >::_Vector_base(unsigned int, std::allocator<std::vector<mbr, std::allocator<mbr> > > const&)
  0.00      1.73     0.00        2     0.00     0.00  std::_Vector_base<std::vector<mbr, std::allocator<mbr> >, std::allocator<std::vector<mbr, std::allocator<mbr> > > >::~_Vector_base()
  0.00      1.73     0.00        2     0.00     0.00  std::allocator_traits<std::allocator<std::vector<mbr, std::allocator<mbr> > > >::deallocate(std::allocator<std::vector<mbr, std::allocator<mbr> > >&, std::vector<mbr, std::allocator<mbr> >*, unsigned int)
  0.00      1.73     0.00        2     0.00     0.00  std::allocator_traits<std::allocator<std::vector<mbr, std::allocator<mbr> > > >::allocate(std::allocator<std::vector<mbr, std::allocator<mbr> > >&, unsigned int)
  0.00      1.73     0.00        2     0.00     0.00  std::vector<std::vector<mbr, std::allocator<mbr> >, std::allocator<std::vector<mbr, std::allocator<mbr> > > >::~vector()
  0.00      1.73     0.00        2     0.00     0.00  void std::_Destroy<std::vector<mbr, std::allocator<mbr> >*>(std::vector<mbr, std::allocator<mbr> >*, std::vector<mbr, std::allocator<mbr> >*)
  0.00      1.73     0.00        2     0.00     0.00  void std::_Destroy<std::vector<mbr, std::allocator<mbr> >*, std::vector<mbr, std::allocator<mbr> > >(std::vector<mbr, std::allocator<mbr> >*, std::vector<mbr, std::allocator<mbr> >*, std::allocator<std::vector<mbr, std::allocator<mbr> > >&)
  0.00      1.73     0.00        1     0.00     0.00  getMBRList(table_row*)
  0.00      1.73     0.00        1     0.00     0.00  createArray(char const*)
  0.00      1.73     0.00        1     0.00     1.47  buildCMBRList(std::vector<std::vector<mbr, std::allocator<mbr> >, std::allocator<std::vector<mbr, std::allocator<mbr> > > >)
  0.00      1.73     0.00        1     0.00     0.00  print_cmbr_map()
  0.00      1.73     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<std::vector<mbr, std::allocator<mbr> > >::new_allocator()
  0.00      1.73     0.00        1     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<std::vector<mbr, std::allocator<mbr> > >, std::vector<mbr, std::allocator<mbr> > >::_S_select_on_copy(std::allocator<std::vector<mbr, std::allocator<mbr> > > const&)
  0.00      1.73     0.00        1     0.00     0.00  cmbr_comb::cmbr_comb()
  0.00      1.73     0.00        1     0.00     0.00  std::_Vector_base<std::vector<mbr, std::allocator<mbr> >, std::allocator<std::vector<mbr, std::allocator<mbr> > > >::_M_get_Tp_allocator() const
  0.00      1.73     0.00        1     0.00     0.00  std::vector<std::vector<mbr, std::allocator<mbr> >, std::allocator<std::vector<mbr, std::allocator<mbr> > > >::end() const
  0.00      1.73     0.00        1     0.00     0.00  std::vector<std::vector<mbr, std::allocator<mbr> >, std::allocator<std::vector<mbr, std::allocator<mbr> > > >::size() const
  0.00      1.73     0.00        1     0.00     0.00  std::vector<std::vector<mbr, std::allocator<mbr> >, std::allocator<std::vector<mbr, std::allocator<mbr> > > >::begin() const
  0.00      1.73     0.00        1     0.00     0.00  std::allocator<std::vector<mbr, std::allocator<mbr> > >::allocator(std::allocator<std::vector<mbr, std::allocator<mbr> > > const&)
  0.00      1.73     0.00        1     0.00     0.00  std::allocator<std::vector<mbr, std::allocator<mbr> > >::allocator()
  0.00      1.73     0.00        1     0.00     0.00  std::_Base_bitset<1u>::_Base_bitset()
  0.00      1.73     0.00        1     0.00     0.00  std::allocator_traits<std::allocator<std::vector<mbr, std::allocator<mbr> > > >::select_on_container_copy_construction(std::allocator<std::vector<mbr, std::allocator<mbr> > > const&)
  0.00      1.73     0.00        1     0.00     0.00  std::vector<mbr, std::allocator<mbr> >* std::__uninitialized_copy<false>::__uninit_copy<__gnu_cxx::__normal_iterator<std::vector<mbr, std::allocator<mbr> > const*, std::vector<std::vector<mbr, std::allocator<mbr> >, std::allocator<std::vector<mbr, std::allocator<mbr> > > > >, std::vector<mbr, std::allocator<mbr> >*>(__gnu_cxx::__normal_iterator<std::vector<mbr, std::allocator<mbr> > const*, std::vector<std::vector<mbr, std::allocator<mbr> >, std::allocator<std::vector<mbr, std::allocator<mbr> > > > >, __gnu_cxx::__normal_iterator<std::vector<mbr, std::allocator<mbr> > const*, std::vector<std::vector<mbr, std::allocator<mbr> >, std::allocator<std::vector<mbr, std::allocator<mbr> > > > >, std::vector<mbr, std::allocator<mbr> >*)
  0.00      1.73     0.00        1     0.00     0.00  std::vector<mbr, std::allocator<mbr> >* std::__uninitialized_default_n_1<false>::__uninit_default_n<std::vector<mbr, std::allocator<mbr> >*, unsigned int>(std::vector<mbr, std::allocator<mbr> >*, unsigned int)
  0.00      1.73     0.00        1     0.00     0.00  std::bitset<13u>::bitset()
  0.00      1.73     0.00        1     0.00     0.00  std::vector<std::vector<mbr, std::allocator<mbr> >, std::allocator<std::vector<mbr, std::allocator<mbr> > > >::_M_default_initialize(unsigned int)
  0.00      1.73     0.00        1     0.00     0.00  std::vector<std::vector<mbr, std::allocator<mbr> >, std::allocator<std::vector<mbr, std::allocator<mbr> > > >::vector(std::vector<std::vector<mbr, std::allocator<mbr> >, std::allocator<std::vector<mbr, std::allocator<mbr> > > > const&)
  0.00      1.73     0.00        1     0.00     0.00  std::vector<std::vector<mbr, std::allocator<mbr> >, std::allocator<std::vector<mbr, std::allocator<mbr> > > >::vector(unsigned int, std::allocator<std::vector<mbr, std::allocator<mbr> > > const&)
  0.00      1.73     0.00        1     0.00     0.00  std::vector<mbr, std::allocator<mbr> >* std::uninitialized_copy<__gnu_cxx::__normal_iterator<std::vector<mbr, std::allocator<mbr> > const*, std::vector<std::vector<mbr, std::allocator<mbr> >, std::allocator<std::vector<mbr, std::allocator<mbr> > > > >, std::vector<mbr, std::allocator<mbr> >*>(__gnu_cxx::__normal_iterator<std::vector<mbr, std::allocator<mbr> > const*, std::vector<std::vector<mbr, std::allocator<mbr> >, std::allocator<std::vector<mbr, std::allocator<mbr> > > > >, __gnu_cxx::__normal_iterator<std::vector<mbr, std::allocator<mbr> > const*, std::vector<std::vector<mbr, std::allocator<mbr> >, std::allocator<std::vector<mbr, std::allocator<mbr> > > > >, std::vector<mbr, std::allocator<mbr> >*)
  0.00      1.73     0.00        1     0.00     0.00  std::vector<mbr, std::allocator<mbr> >* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<std::vector<mbr, std::allocator<mbr> > const*, std::vector<std::vector<mbr, std::allocator<mbr> >, std::allocator<std::vector<mbr, std::allocator<mbr> > > > >, std::vector<mbr, std::allocator<mbr> >*, std::vector<mbr, std::allocator<mbr> > >(__gnu_cxx::__normal_iterator<std::vector<mbr, std::allocator<mbr> > const*, std::vector<std::vector<mbr, std::allocator<mbr> >, std::allocator<std::vector<mbr, std::allocator<mbr> > > > >, __gnu_cxx::__normal_iterator<std::vector<mbr, std::allocator<mbr> > const*, std::vector<std::vector<mbr, std::allocator<mbr> >, std::allocator<std::vector<mbr, std::allocator<mbr> > > > >, std::vector<mbr, std::allocator<mbr> >*, std::allocator<std::vector<mbr, std::allocator<mbr> > >&)
  0.00      1.73     0.00        1     0.00     0.00  std::vector<mbr, std::allocator<mbr> >* std::__uninitialized_default_n<std::vector<mbr, std::allocator<mbr> >*, unsigned int>(std::vector<mbr, std::allocator<mbr> >*, unsigned int)
  0.00      1.73     0.00        1     0.00     0.00  std::vector<mbr, std::allocator<mbr> >* std::__uninitialized_default_n_a<std::vector<mbr, std::allocator<mbr> >*, unsigned int, std::vector<mbr, std::allocator<mbr> > >(std::vector<mbr, std::allocator<mbr> >*, unsigned int, std::allocator<std::vector<mbr, std::allocator<mbr> > >&)

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2019 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 4 byte(s) for 0.58% of 1.73 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]     84.7    0.00    1.47                 main [1]
                0.00    1.47       1/1           buildCMBRList(std::vector<std::vector<mbr, std::allocator<mbr> >, std::allocator<std::vector<mbr, std::allocator<mbr> > > >) [2]
                0.00    0.00       1/1           std::vector<std::vector<mbr, std::allocator<mbr> >, std::allocator<std::vector<mbr, std::allocator<mbr> > > >::vector(std::vector<std::vector<mbr, std::allocator<mbr> >, std::allocator<std::vector<mbr, std::allocator<mbr> > > > const&) [156]
                0.00    0.00       1/1           getMBRList(table_row*) [177]
                0.00    0.00       1/1           createArray(char const*) [570]
                0.00    0.00       1/2           std::vector<std::vector<mbr, std::allocator<mbr> >, std::allocator<std::vector<mbr, std::allocator<mbr> > > >::~vector() [567]
                0.00    0.00       1/1           print_cmbr_map() [571]
-----------------------------------------------
                0.00    1.47       1/1           main [1]
[2]     84.7    0.00    1.47       1         buildCMBRList(std::vector<std::vector<mbr, std::allocator<mbr> >, std::allocator<std::vector<mbr, std::allocator<mbr> > > >) [2]
                0.27    0.85     231/231         getCMBRLayerWCount(std::vector<mbr, std::allocator<mbr> >, std::vector<mbr, std::allocator<mbr> >) [3]
                0.04    0.24     148/148         instanceCombinationBuild(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >) [5]
                0.00    0.02     225/225         std::vector<cmbr, std::allocator<cmbr> >::push_back(cmbr const&) [64]
                0.00    0.01     225/225         std::vector<cmbr_comb, std::allocator<cmbr_comb> >::push_back(cmbr_comb const&) [77]
                0.00    0.01     444/1344        std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::vector(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > const&) [30]
                0.00    0.01     462/700         std::vector<mbr, std::allocator<mbr> >::vector(std::vector<mbr, std::allocator<mbr> > const&) [70]
                0.00    0.01     302/752         std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator=(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > const&) [63]
                0.00    0.00     592/3583        std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::~vector() [83]
                0.00    0.00     232/539         cmbr::~cmbr() [108]
                0.00    0.00     231/231         cmbr::operator=(cmbr&&) [131]
                0.00    0.00      89/492         print_time(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >) [100]
                0.00    0.00     148/610         std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator=(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&&) [123]
                0.00    0.00       1/308         cmbr_comb::~cmbr_comb() [113]
                0.00    0.00    1831/2020        std::vector<std::vector<cmbr, std::allocator<cmbr> >, std::allocator<std::vector<cmbr, std::allocator<cmbr> > > >::operator[](unsigned int) [362]
                0.00    0.00     841/1030        std::vector<cmbr, std::allocator<cmbr> >::operator[](unsigned int) [397]
                0.00    0.00     765/1001        std::vector<cmbr, std::allocator<cmbr> >::size() const [398]
